Rank,Year,Title,Artist,Lyrics,Lyric_Neg,Lyric_Neu,Lyric_Pos,Lyric_Compound
59,2022-01-01,MAMIII,Becky GXKarol G,,,,,
60,2022-01-01,Knife Talk,DrakeFeaturing21 Savage&Project Pat,,,,,
61,2022-01-01,AA,Walker Hayes,"One, two, three

Alright
Coffee cup, cold and black
Wish you had a little shot of jack
Besides that, can't complain
Just tryin' to do the dang thing
Might change the oil in my truck
I ain't payin' no thirty-five bucks
Kids need shoes, mama needs Levi's

And I'm just tryna keep my daughters off the pole
And my sons out of jail
Tryna get to church so I don't go to hell
I'm just tryna keep my wife from figuring out
That I married up and she married way, way down
In Alabama where they love Nick Saban
Tryna write a song the local country station will play
Hey, I'm just tryna stay out of AA (AA, ooh)

Well I gave up Skoal and cigarettes
Now I'm just hooked on Nicorette
Trying not to be like my old man
But the older I get, the more I am
Tryna get paid and a little love made, y'all
Hey, y'all, at the end of the day, y'all
I'm just another John Deere guy (Hey)
Up on a tractor

Tryna steer my daughters off the pole
And my sons out of jail (Sons out of jail)
Tryna get to church so I don't go to hell (I don't wanna go)
I'm just tryna keep my wife (Hey babe) from figuring out (I love you)
That I married up (So fine girl) and she married way way down
In Alabama where they love Nick Saban (Roll tide)
Tryna write a song the local country station will play
Hey, I'm just tryna stay out of AA (Ooh, ooh, come on, babe, right here)

Tell you, ooh-ooh-ooh, tryna stay out of AA every day
One step at a time, yeah
Life's hard, family's weird
Sometimes you just need a beer
Can I get an Amen? (Amen)

Man, I'm just tryna keep my daughters off the pole
And my sons out of jail (Sons out of jail)
Tryna get to church so I don't go to hell (I don't wanna go)
I'm just tryna keep my wife (Hey babe) from figuring out (I love you)
That I married up (So fine girl) and she married way way down
In Alabama where they love Nick Saban (Roll Tide)
Tryna write a song the local country station will play

Hey, I'm just tryna stay out of AA
Oh, hey, hey, hey, I'm just tryna stay out of AA
Yes, I am",0.012,0.826,0.162,0.9967
62,2022-01-01,Sweetest Pie,Megan Thee Stallion&Dua Lipa,"(Mano)
Nunca has estado en el cielo, ¿verdad?
(OG Parker)

Uh, este es el viaje de tu vida
Resiste porque, cariño, puede
Puede que te dé un bocado del pastel más dulce (Sí, sí, ah)
Uh, cariño, podemos ir rápido
Yo conduzco y tú te recuestas
Tengo el sabor que dura (Uhum, uhum), sí, el pastel más dulce
Puede que te lleve a casa con este, puеde que te lo dé todo (Sí)
Vеn por tu dosis del pastel más dulce
Uh, este es el viaje de tu vida, resiste porque, cariño, puede que
Puede que te dé un bocado (Uhum) del pastel más dulce (Uhum)

Cariño, soy la más dulce, la vagina es la más mala (Sí)
Mierda de chica caliente, pero soy fría cada temporada (Pero soy)
Sabe que tiene esa pipa, dejo que la rompa hasta que gotee (Sí, mwah)
Trasero como una almohada, dejo que lo use mientras duerme (Mira)
No revises mi teléfono porque esa es la vieja yo (Vieja yo)
No eres el único que intenta ser mi único y exclusivo (Intenta)
Realmente grueso, lo muevo lentamente, ese cuerpo es como codeína
Él es un jugador (Ey) pero por Megan (Ey) él corta (Ey) todo el equipo (Hey)
Ese cuerpo se ve bien (Se ve bien)
Tengo pastel y sé que quiere una rebanada
Me gustaría que un negro tratara de ponerme en hielo (Brrr)
Nunca he tenido que perseguir una polla en mi vida (En mi vida)
Quiero esa cosa asquerosa, esa cosa rara (Cosa rara)
Que se deslize abajo de mi cama y me mantega despierta (Hey)
Ese Hansel y Gretel, dejo que me coma (Ah)
Uh, uh, uh, uh, uh

Uh, este es el viaje de tu vida (Sí, sí, sí)
Resiste porque, cariño, puede
Puede que te dé un bocado (Aham) del pastel más dulce
Uh, cariño, podemos ir rápido (Sí)
Yo conduzco y tú te recuestas (Ah)
Tengo el sabor que dura, sí, el pastel más dulce
Puede que te lleve a casa con este, puede que te lo dé todo
Ven por tu dosis del pastel más dulce
Uh, este es el viaje de tu vida, resiste porque, cariño, puede que
Puede que te dé un bocado (Uhum) del pastel más dulce (Uhum)

Me tienes colgando desde el otro lado de la habitación
Estoy tan drogada que estoy en otra altitud
Y en mi nube tengo espacio para ti
Tengo una probada para ti, ayy

Más rebote a la onza, recogelo, ponlo abajo (Whoa)
Quiero poner su Nutty Buddy en mi Fudge Round (Ow)
Vagina más apretada que una perra, no lo ha tenido así
Dedos de los pies curvados como si lanzaran signos de pandillas en Crip (En Crip)
Una cosa sobre mí, no estoy tomando ninguna mierda
Está azotado, sé que se está cabreando su perra anterior
Caesar Milan, tengo su culo entrenado (Tengo su culo entrenado)
Estoy tratando de hacer que un perro sepa quién realmente da las órdenes

Nunca has estado en el cielo (Uh), ¿verdad?

Uh, este es el viaje de tu vida
Resiste porque, cariño, puede
Puede que te dé un bocado (Aham) del (Aham) pastel más dulce
Uh, cariño, podemos ir rápido
Yo conduzco y tú te recuestas (Ah)
Tengo el sabor que dura, sí (Aham), el pastel más dulce (Uh-huh, uh-huh)
Puede que te lleve a casa con este, puede que te lo dé todo
Ven por tu dosis del pastel más dulce
Uh, este es el viaje de tu vida, resiste porque, cariño, puede que
Puede que te dé un bocado del pastel más dulce (Uh-huh, ayy, ayy, ayy)

Mierda de chica realmente caliente (Uh, este es el viaje de tu vida)
Dua Lipa y yo vamos a encender la fiesta (Puede que te dé un bocado, puede que te dé un bocado)
Ah (Del pastel más dulce)",0.014,0.977,0.009,-0.3939
63,2022-01-01,Provenza,Karol G,"Baby, ¿qué más?
Hace rato que no sé na' de ti
'Taba con alguien, pero ya estoy free
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah
Que hace rato que no sé na' de ti (Na' de ti)
'Taba con alguien, pero ya estoy free
Puesta pa' revivir viejos tiempo', no salgo hace tiempo (Shh)

Papi, nos perdemo', nos parqueamo' y lo prendemo'
Pa' la seca algo bebemo', y cuando nos emborrachemo'
Una de reggaetón ponemo' y nos vamo' a donde nos podamos querer
Nos podamos comer (Eh-ah)
Papi, nos perdemo', nos parqueamo' y lo prendemo'
Pa' la seca algo bebemo', y cuando nos emborrachemo'
Una de reggaetón ponemo' y nos vamo' a donde nos podamo' querer
Nos podamo' comer

Baby, ¿qué más?
Hace rato (Wuh) que no sé na' de ti (Yeh)
'Taba con alguien, pero ya estoy free ('Toy free)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah (Tú dime, tú dime)
Que hace rato que no sé na' de ti (Na' de ti)
'Taba con alguien, pero ya estoy free (Wuh)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo

¿Qué de malo puede pasar?
¿Que nos vaya mal? Estoy afuera, sal
Tenemos cosas pendiente' por repasar
Tú ere' un polvito difícil de reemplazar (Sí)
No sé si te convenza (Ey)
Nos damo' un rocecito por Provenza
Y si la cosa se pone tensa, en mi cama la recompensa
O viceversa, ¿por qué lo piensas? (¡No!)
Pasamo' por el barrio por hierba (Hierba)
Ponla en la hookah pa' que se disuelva
La química todavía se conserva
Y yo te lo hago rico para que vuelva'
Aunque mañana me voy, aprovéchame que aquí estoy
Puesta pa' ti, por eso te escribí

Baby, ¿qué más?
Hace rato que no sé na' de ti
'Taba con alguien, pero ya estoy free (Huh)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo
Tú dime dónde está', ah-ah-ah (Tú dime, tú dime)
Que hace rato que no sé na' de ti (Na' de ti)
'Taba con alguien, pero ya estoy free (Wuh)
Puesta pa' revivir viejos tiempo', no salgo hace tiempo

O-O-Ovy On The Drums",0.077,0.866,0.057,-0.4314
64,2022-01-01,Essence,WizkidFeaturingJustin Bieber&Tems,,,,,
65,2022-01-01,All I Want For Christmas Is You,Mariah Carey,,,,,
66,2022-01-01,Bam Bam,Camila CabelloFeaturingEd Sheeran,,,,,
67,2022-01-01,5 Foot 9,Tyler Hubbard,"Jack makes good whiskey, yeah
Red dirt makes good-riding roads
Country makes good music
For kicking up dust in a taillight glow
Dry wood makes good fires
Goodyears make good swings
All that's all good, but for me

God makes five-foot-nine, brown eyes in a sundress
Loves Tim McGraw and a small-town accent
Ain't no way that me and this truck made her fall in love
Jack makes good whiskey, but God makes the good stuff

Oh, God makes the good stuff

Like that sweet little kiss she lays on me
When I pull up in the gravel drive
The way she dances with the raindrops
Like she's the reason why they fall from the sky
And I thank Him every time I close my eyes

God makes five-foot-nine, brown eyes in a sundress
Loves Tim McGraw and a small-town accent
Ain't no way that me and this truck made her fall in love
Jack makes good whiskey, but God makes the good stuff

God made her, so I'ma make sure
He didn't waste an angel on me

When He made five-foot-nine, brown eyes in a sundress
Loves Tim McGraw and a small-town accent
Ain't no way that me and this truck made her fall in love
Jack makes good whiskey, but God makes the good stuff
Five-foot-nine, brown eyes in a sundress
Loves Tim McGraw and a small-town accent
Ain't no way that me and this truck made her fall in love
Jack makes good whiskey, but God makes the good stuff (Oh)

Yeah, God makes the good stuff
Yeah, God makes the good stuff (Oh)
Woah",0.009,0.555,0.436,0.9994
68,2022-01-01,Get Into It (Yuh),Doja Cat,"Yeah, ayy
Ha, ayy, yeah

They say I just got a buck, uh
Get into it, yuh
Pop out with a truck, ha
Get into it, yuh (Yuh)
If you go to church
I said get into it, yuh
If she ain't got a butt
Nah, fuck it, get into it, yuh
And I say I just got a buck
Get into it, yuh
Pop out with a truck
Get into it, yuh
If you go to church
Get into it, yuh
If she ain't got a butt
Fuck it, get into it, yuh

Yeah, you just wanna party, you just wanna lap dance
You just wanna pop up on these clowns like you're the Batman
You just wanna ball out in designer with your best friends
You don't wanna talk no more about it in the past tense
Get me out my zone, I'm just talkin' comfort, shawty
I ain't give you nothin' you could come for, shawty
I got plenty things you make a run for, shawty
Call him Ed Sheeran, he in love with my body

They say I just got a buck, uh
Get into it, yuh
Pop out with a truck, ha
Get into it, yuh (Yuh)
If you go to church
I said get into it, yuh
If she ain't got a butt
Nah, fuck it, gеt into it, yuh
And I say I just got a buck
Get into it, yuh
Pop out with a truck
Get into it, yuh
If you go to church
Get into it, yuh
If shе ain't got a butt
Fuck it, get into it, yuh

Y'all need to get into the drip like a piranha
Y'all need to get into my drip like y'all need water
I mean, it's only head to toe Balenciaga
I mean, y'all bitches better ""yuh"" like Ariana
If they ever tryna knock her, put my foot up in your caca
Call your mama and your papa like I'm finna take your daughter
Turn that bitch into a soccer ball and rocka, rocka, rocka (Brrr)
Get into it like a suit and fuck a stock up like a broker

They say I just got a buck (Yuh)
Get into it, yuh (Ayy)
Pop out with a truck, ha
Get into it, yuh (Pop out, pop out)
If you go to church
I said get into it, yuh
If she ain't got a butt
Nah, fuck it, get into it, yuh
And I say I just got a buck (Ayy)
Get into it, yuh
Pop out with a truck
Get into it, yuh (Yeah)
If you go to church
Get into it, yuh (Go to church)
If she ain't got a butt
Fuck it, get into it, yuh
(Yeah, yeah, yeah, yeah)

Thank you, Nicki, I love you
Got that big rocket launcher!",0.049,0.791,0.16,0.9922
69,2022-01-01,Efecto,Bad Bunny,"Yeah-yeah-yeah-yeah-yeah-yeah
Eh-eh-eh-eh

No sé si es casualidad que yo me sienta así
Siempre que tú estás cerquita de mí
Dime qué me hiciste, qué droga me diste
Que desde aquella noche no soy igual
Tú me mira' y empiezo a sudar
Siento que puedo volar

Baby, la nota ya está haciendo efecto
Mi mundo está jodío' y me siento perfecto
Porque estás tú, aquí, moviéndote así, no pare'
Baby, tú eres mi droga, esta noche no le baje'
Porque la nota ya está haciendo efecto
Mi mundo está jodío' y me siento perfecto
Porque estás tú, aquí, moviéndote así, no pare'
Baby, tú eres mi droga, esta noche no le baje'

Esta no, esta sí
Esta no, esta sí
Esta no, esta sí
Esta no, esta sí

El gatito tuyo te perdió por negligencia
Y yo que no creo en la abstinencia
Esta noche en la cama va a haber turbulencia'
Qué rico tú mama', te vo'a dar la permanencia'
Ese totito e' la eminencia
Pa' darle tengo licencia
Desde que fuimo' a Florencia
Se puso más bicha, pero no pierde la esencia
No, no, de Carola
No, no, no, no anda sola
No, no, no le diga' ""hola""
O va' a ser otro pa' la cola
Tu piquete me mola
Yo soy fan de esa popola (Mua, mua)
Más las picky, las endo, la coca y la rola (Más nada)
Eres tú quien me controla, eh (Jeje)

En tus ojo' veo el mar, mami, llévame en tu ola (Tú eres mala)
Hoy me siento bien puta, re piola, ey

Porque la nota ya está haciendo efecto
Mi mundo está jodío' y me siento perfecto
Porque estás tú, aquí, moviéndote así, no pare'
Baby, tú ere' mi droga, esta noche no le baje'",0.161,0.81,0.029,-0.9854
70,2022-01-01,Rock And A Hard Place,Bailey Zimmerman,"We've been swingin’ and missin'
It ain't broke yet, but damn, it needs fixin’
Been a while since your kiss felt like kissin'
It's just different

We've been talkin' 'bout forever since we been together
Somethin' 'bout a ring makes you think we’re better
Off with all this, but we’re caught in-between

A rock and a hard place
Red wine and mistakes
Tears rollin' down your face
When I walked out that door
That’s when I lost it
Midnight in Austin
Damn, I'm exhausted
What the hell's this all for?
Is this where it mеnds or it breaks?
Between a rock and a hard place

For thе record (Shit)
Throwin' in the towel takes some effort
So I’d rather ride it out for better weather
Together

Between a rock and a hard place
Red wine and mistakes
Tears rollin' down your face
When I walked out that door
That's when I lost it
Midnight in Austin
Damn, I'm exhausted
What the hell's this all for?
Is this where it mends or it breaks?
Between a rock and a hard place

We've been talkin' 'bout forever since we been together
Somethin' 'bout a ring makes you think we're better
Off with all this, but we're caught in-between

A rock and a hard place
Tears rollin' down your face
As I walked out that door
That's when I lost it
Midnight in Austin
Damn, I'm exhausted
What the hell's this all for?
Is this where it mends or it breaks?
How much more of this can we take?",0.193,0.737,0.07,-0.9836
71,2022-01-01,Doin' This,Luke Combs,"Someone asked me once in an interview
""What was growing up like?""
""Where'd you go to school?""
""And what would you do if you weren't doin' this?""
I'd be drivin' my first car, an old worn-out Dodge
Tryin' to make rent with a dead-end job, just makin' due
With tips in a jar, my guitar, and an old barstool

I'd have a Friday night crowd in the palm of my hand
Cup of brown liquor, couple buddies in a band
Singin' them same damn songs like I am now
I'd be feelin' on fire on a hardwood stage
Bright lights like lightning runnin' through my veins
At the Grand Ole Opry or a show in some no-name town
I'd still be doin' this if I weren't doin' this

I'd still be the same guy they knew back in the day
Who was burnin' CD's just to give away
Payin' his dues
If I wasn't doin' this
Five deep in a van, head full of steam
Hot on the heels of my neon dreams maybe comin' true
Livin' this life just like I was born to do

I'd have a Friday night crowd in the palm of my hand
Cup of brown liquor, couple buddies in a band
Singin' them same damn songs like I am now
I'd be feelin' on fire on a hardwood stage
Bright lights like lightning runnin' through my veins
At the Grand Ole Opry or a show in some no-name town
I'd still be doin' this if I weren't doin' this

It ain't about the fame
It ain't about the fortune
It ain't about the name
It ain't about the glory
I guess I'm sayin' it's always been about

I'd have a Friday night crowd in the palm of my hand
Cup of brown liquor, couple buddies in a band
Singin' them same damn songs like I am now
I'd be feelin' on fire on a hardwood stage
Bright lights like lightning runnin' through my veins
At the Grand Ole Opry or a show in some no-name town
I'd still be doin' this if I weren't doin' this

Someone asked me once in an interview
""What was growing up like?""
""Where'd you go to school?""
""And what would you do if you weren't doin' this?""",0.051,0.813,0.136,0.985
72,2022-01-01,Oh My God,Adele,"I ain't got too much time to spare
But I'll make time for you to show how much I care
Wish that I would let you break my walls
But I'm still spinning out of control from the fall
Boy, you give good love, I won't lie
It's what keeps me comin' back even though I'm terrified

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight

I'm a fool, but they all think I'm blind
I'd rather be a fool than leave myself behind
I don't have to explain myself to you
I am a grown woman and I do what I want to do

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight

""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Oh, Lord)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Don't let me let myself down)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Oh, my God)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Oh, oh-oh-oh, oh-oh-oh)

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
When it's a battle that I cannot fight

""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (I know that it's wrong, but I want to have fun)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Mmm, yeah, mmm, yeah)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (I know that it's wrong, but I want to have fun)
""Lord, don't let me,"" I said, ""Lord, don't let me""
I said, ""Lord, don't let me, let me down"" (Mmm, yeah, mmm, yeah)",0.137,0.686,0.176,0.9237
73,2022-01-01,Better Days,NEIKED X Mae Muller XPolo G,,,,,
74,2022-01-01,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,"When I wake up, I can't even stay up
I slept through the day, fuck
I'm not getting younger
But when I'm older, I'll be so much stronger
I'll stay up for longer
Meet me at our spot

Caught a vibe (Woo, woo)
Baby, are you coming for the ride? (The ride, the ride, the ride)
I just wanna look into your eyes (Your eyes, your eyes)
I just wanna stay for the night, night, night
When we take a drive (Woo, woo)
Maybe we can hit the 405
Hypnotized by the lights
Man, this must be the life

When I go to sleep, I can't even fall asleep
Something's got ahold of me
Feel it taking over me
But when I'm older I'll be moving onward
I just got a drunk text
(Meet me at our spot)

We caught a vibe (Yeah, yeah)
Baby, are you coming for the ride? (The ride, the ride, the ride)
When I look into your eyes (Your eyes, your eyes)
I just wanna hold you all night (All night)
Maybe we can take a drive (Take a drive)
Baby, we can hit the 405
Hypnotized by the lights
Man, this must be the life

Meet me at our spot
Got something I wanna show you
Meet me at our spot
They can't find us there
Meet me at our spot
Got something I wanna show you
Meet me at our spot
They can't find us there

Caught a vibe (Woo, woo)
Baby, are you coming for the ride? (The ride, the ride, the ride)
I just wanna look into your eyes (Into your eyes)
I just wanna stay for the night, night, night
When we take a drive (Woo, woo)
Maybe we can hit the 405
Hypnotized by the lights
Man, this must be the life",0.02,0.966,0.013,-0.2669
75,2022-01-01,Fingers Crossed,Lauren Spencer Smith,"Introduced me to your family
Watched my favorite shows on your TV
Made me breakfast in the mornin'
When you got home from work

Makin' plans to travel 'round the world
Said we'd always put each other first
Old love songs we used to play to
Funny, now I hate you

Now, I
Remember when you'd call me late at night
I gave you my hours and advice just tryna fix you
And all your daddy issues
But now, I don't even miss you anymore
So, I
I want all the tears back that I cried
All the hours spent givin' advice on how to write your songs
All you did was prove me wrong
When you said you loved me
Well, you must've had your fingers crossed

Shoulda paid attention to my friends
Tellin' me how bad it's gonna end
Always givin' their opinions
Now I wish I would have listened

I could say I'm sorry, but I'm not
You don't deserve the one thing that you lost

Now, I
Remember when you'd call me late at night
And I gave you my hours and advice just tryna fix you
And all your daddy issues
But now, I don't even miss you anymore
So, I
I want all the tears back that I cried
All the hours spent givin' advice on how to write your songs
All you did was prove me wrong
When you said you loved me
Well, you must've had your fingers crossed

(Oh-oh, oh-oh) Your fingers crossed
(Oh-oh, oh-oh) Your fingers crossed
(Oh-oh, oh-oh) Oh, when you said you loved me
Well, you must've had your fingers crossed

Oh, I
I want all the tears back that I cried
All the hours spent giving advice on how to write your songs
All you did was prove me wrong
Wish you said you loved me
When you didn't have your fingers crossed",0.113,0.721,0.166,0.9568
76,2022-01-01,All Too Well (Taylor's Version),Taylor Swift,"I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now

Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days

And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well

Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You taught me 'bout your past, thinking your future was me

And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to

'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well, yeah

And maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again
Just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
Too well

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well

Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well",0.066,0.784,0.149,0.9916
77,2022-01-01,Party,Bad Bunny&Rauw Alejandro,"Yeah, saying
Ra-Rauw

She's been alone for a while
But she doesn't upload anything on social media
Oh-oh (No, no), she makes me overthink
Today she wants to flow, she's tired of thinking
She rolls it up and starts smoking, ah-ayy (Ayy)
She wants to let loose today
She doesn't want any strings attached, she just wants

Party, party, party, party, party, party, party, party
Party, party, party, party, party, party, pa—
Party, party, party, party, party, party, party, party
Party, party, party, party, party, party, party, party (Yeah-yeah-yeah-yeah, ey)

She looked in the mirror (Woo!)
And noticed she was fine, and noticed she was fine
She wants to grind and get high
I'll smack that ass
Whenever you want, ready for you to gеt horny
And to grind it with you all-all night
They just open up their wallеts
We left without anybody noticing
Baby, how greedy
You want to do it with two and I doubt you can handle it (Ayy)
There are so many seats
And you still want to sit on top of my dick
I've made your pussy sentimental, uh
And your panties are wet
Still pretty high, it hasn't come down
She says she's single but she hasn't broken up
And that she dares to do it with Benito and Rauw, hehe
I like you, I like you
We left Threehouse and left to Ocean Park
Running Can-Am, drinking champagne
I'll buy you a Taycan tomorrow

Ayy, ayy, you move deliciously, like those of E11EVEN
She knows she's fine and she shows off since she can
I'm willing and you're willing, but who dares?
Tell me who dares
Because in the hotel there will be an after—

Party, party, party, party, party (Ayy, ayy, ayy), party, party, party (Let's go to the afterparty)
Party, party, party, party, party (Ayy, ayy, ayy), party, party, par—(Let's go to the afterparty)
Party, party (Ayy, ayy), party, party, party, party, party, party
Party, party, party, party, party (Ayy, ayy, ayy), party, party, party (Ra-Rauw)

Pretty nasty foreplay (Uh-huh)
A real booty, but her boobs are plastic (Eeh-eeh)
She has an abdomen, it looks like she does fasting (Ayy)
And now when she eats it, she swallows, she doesn't chew, ayy
Now she's a full ten, forty hours of flirting (Ah)
Wheeling the Four Truck, she likes what's illicit (Woh)
She left him behind, she flipped off her ex (Ayy)
She asks for El Zorro and El Conejo while twerking (Ya!)
Tell me if you want candy
While running away, we got lost in Santurce (Oh-oh)
In the club, may the lights be turned off (Yeah-yeah)
That booty is for you to use (Yeah-yeah)
Tell me, I'll let you abuse me
You have me in a loop
Before it gets in she spits on it (Mami)
I made her ride it and on the bed, we had a— (Ya!)

Party, party, party, party, party, party, party, party
Party, party, party, party, party, party, pa—
Party, party, party, party, party, party, party, party (Oh-oh-oh)
Party, party, party, party (Yeah), party, party, party, party

Hahahahai
Oof, enjoying the night and many other things, beautiful
They are all saints when they talk about the sins of others
Oof, hahahahaha
Hey, hey, life
Who understands things like that? Who understands it?
Hey, hahahaha",0.056,0.484,0.459,0.9999
78,2022-01-01,Despues de La Playa,Bad Bunny,"Yeah-yeah, yeah-yeah, yeah-yeah
Eh-eh
Ja, ja
Eh-eh, eh-eh, eh

Tú dice' que no me atrevo
Si supiera' que yo ando a fuego
Dime qué tú juega' y yo lo juego
No lo dejemo' pa' luego, no
Que la luz ya se fue
Y la noche llegó, ey
Quiero saber si usted quiere lo mismo que yo

Dime pa' dónde vamo' después de la playa
Si nos secamo', yo traigo la toalla
Y de nuevo nos mojamo', pero en mi cama
Te vo'a dar tabla de surfear, yeah
Dime pa' dónde vamo' después de la playa
Si nos secamo', yo traigo la toalla
Y de nuevo nos mojamo', pero en mi cama
Te vo'a dar tabla de surfear, bebé

Dime, ¿vamo' pa'l mambo o no vamo' pa'l mambo?
Tú me dice', mami
Zumba
¿Qué?
Ey, ey, ey
Hoy sí que sí, ah
Wuh
Ey

Dime pa' dónde vamo' después de la playa
Si nos secamo', yo traigo la toalla
Y de nuevo nos mojamo', pero en mi cama
Te vo'a dar tabla de surfear, bebé

Mami, tú vive' lejo' (¿Qué?)
Pero comoquiera yo vo'a buscarte (Wuh)
Porque tú 'tás buena y te lo merece' (Tú 'tás rica)
Al frente 'el mar es que yo quiero darte (Ah, ah, ah)
Pa' que se pongan contento' to' los pece' (Wuh)
Y tú estás mojá', yo estoy ready pa' surfearte (Estoy ready)
Tranquila, que yo sé que esto e' a vece' (Normal)
La otra ve' en la playa te emborrachaste y pediste que te bese (¿Cómo fue?), yeh

¿Cómo?
Ey, ey, ey, ey, ey, ey, ey, ey
Prende eso, prende eso, prende eso
¿Cómo?
Ando con El Apechao
Que no me llame nadie hoy, ¿okey?
Me lo vo'a beber to' (¡Ja!)

Ey, to' el mundo borracho bailando en la playa
Sintiendo el calor, sintiendo el calor
Tú llevas rato mirando y mirando
Pégate mejor, pégate mejor
De esa' chapa' se habla en toa' las barbería'
Y en el colmadón, y en el colmadón (¿Cómo?), ey
Tu novio se cree Romeo y yo le vo'a hacer como Don
Le vo'a hacer como Don, ¿qué, qué, qué?

(¿Qué tú dice'?)
Salí con tu mujer
Ya Dio' me perdonó, falta' tú
¿Qué, qué, qué?
'Toy borracho, borracho
Ey, ey, ey, ey, ey, ey
¿Qué tú dice', Beto?
No le vo'a bajar, ¿okey?
No le baje', no le baje'
Ah, ah, ah, ah, ah, ah, ah (¿Cómo?)
Ey, ey, ey, ey, ey
Qué gozadera
Ey, ey, ey, ey, ey
Que no se apague
Ey, ey, ey, ey
¿Pa'ónde vamo'? ¿Pa'ónde vamo'?
Dime, despué' de aquí

Mera
¿Y este cabrón quién e'? El que está cogiendo cerveza 'e la neverita, tú, allá
¿Anda' con nosotro'?
Ah, okey, okey, okey, okey, dale",0.047,0.943,0.01,-0.9239
79,2022-01-01,You Should Probably Leave,Chris Stapleton,"I know it ain't all that late
But you should probably leave
And I recognize that look in your eyes
Yeah, you should probably leave

'Cause I know you and you know me
And we both know where this is gonna lead
You want me to say that I want you to stay
So you should probably leave
Yeah, you should probably leave

There's still time for you to finish your wine
Then you should probably leave
And it's hard to resist, alright, just one kiss
Then you should probably leave

'Cause I know you and you know me
And we both know where this is gonna lead
You want me to say that I want you to stay
So you should probably leave
Yeah, you should probably leave

Like a devil on my shoulder, you keep whisperin' in my ear
And it's gettin' kinda hard for me to do the right thing here
I wanna do the right thing, baby

Sun on your skin, 6AM
And I been watchin' you sleep
And honey, I'm so afraid you're gonna wake up and say
That you should probably leave

'Cause I know you and you know me
And we both know where this is gonna lead
I want you to stay but you'll probably say
That you should probably leave
Yeah, you should probably leave
Oh, you should probably leave",0.102,0.783,0.114,0.8402
